           0     -25.0468
   0.0156265     -25.0458
   0.0312529     -25.0423
   0.0468794     -25.0345
   0.0625058     -25.0203
   0.0781323     -24.9973
   0.0916799     -25.0254
    0.105228     -25.0678
    0.118775     -25.1108
    0.132323     -25.1463
    0.145871     -25.1694
    0.159419     -25.1774
    0.175045     -25.2244
    0.190672     -25.2674
    0.206298     -25.3021
    0.221924     -25.3244
    0.237551     -25.3319
    0.251099     -25.3228
    0.264646     -25.2955
    0.278194     -25.2515
    0.291742     -25.1936
     0.30529     -25.1244
    0.318837     -25.0468
    0.332649      -25.046
    0.346461     -25.0435
    0.360273     -25.0383
    0.374085     -25.0294
    0.387633     -25.0735
    0.401181     -25.1228
    0.414728     -25.1688
    0.428276     -25.2057
    0.441824     -25.2293
    0.455372     -25.2375
    0.469184     -25.2782
    0.482995     -25.3079
    0.496807     -25.3261
    0.510619     -25.3319

           0     -25.0468
   0.0156265     -25.0458
   0.0312529     -25.0423
   0.0468794     -25.0345
   0.0625058     -25.0203
   0.0781323     -24.9973
   0.0916799     -25.0254
    0.105228     -25.0678
    0.118775     -25.1108
    0.132323     -25.1463
    0.145871     -25.1694
    0.159419     -25.1774
    0.175045     -25.1683
    0.190672      -25.142
    0.206298     -25.1233
    0.221924     -25.1234
    0.237551     -25.1235
    0.251099     -25.1155
    0.264646     -25.0922
    0.278194     -25.0567
    0.291742     -25.0136
     0.30529     -24.9703
    0.318837     -25.0468
    0.332649      -25.046
    0.346461     -25.0435
    0.360273     -25.0383
    0.374085     -25.0294
    0.387633     -25.0735
    0.401181     -25.1228
    0.414728     -25.1688
    0.428276     -25.2057
    0.441824     -25.2293
    0.455372     -25.2375
    0.469184     -25.1872
    0.482995     -25.1286
    0.496807      -25.118
    0.510619     -25.1235

           0     -24.9373
   0.0156265     -24.9618
   0.0312529     -24.9788
   0.0468794     -24.9896
   0.0625058     -24.9954
   0.0781323     -24.9973
   0.0916799     -25.0254
    0.105228     -25.0678
    0.118775     -25.1108
    0.132323     -25.1463
    0.145871     -25.1694
    0.159419     -25.1774
    0.175045     -25.1683
    0.190672      -25.142
    0.206298     -25.1233
    0.221924     -25.1234
    0.237551     -25.1235
    0.251099     -25.1155
    0.264646     -25.0922
    0.278194     -25.0567
    0.291742     -25.0136
     0.30529     -24.9703
    0.318837     -24.9373
    0.332649     -24.9699
    0.346461     -24.9959
    0.360273     -25.0154
    0.374085     -25.0294
    0.387633     -25.0009
    0.401181     -24.9951
    0.414728     -25.0073
    0.428276     -25.0249
    0.441824     -25.0368
    0.455372     -25.0414
    0.469184     -25.0759
    0.482995      -25.102
    0.496807      -25.118
    0.510619     -25.1235

           0     -24.9373
   0.0156265     -24.9618
   0.0312529     -24.9788
   0.0468794     -24.9896
   0.0625058     -24.9954
   0.0781323     -24.9973
   0.0916799     -25.0254
    0.105228     -25.0678
    0.118775     -25.1108
    0.132323     -25.1463
    0.145871     -25.1694
    0.159419     -25.1774
    0.175045     -25.1311
    0.190672     -25.1232
    0.206298     -25.1011
    0.221924     -25.1091
    0.237551     -25.1235
    0.251099     -25.1155
    0.264646     -25.0922
    0.278194     -25.0567
    0.291742     -25.0136
     0.30529     -24.9703
    0.318837     -24.9373
    0.332649     -24.9699
    0.346461     -24.9959
    0.360273     -25.0154
    0.374085     -25.0294
    0.387633     -25.0009
    0.401181     -24.9951
    0.414728     -25.0073
    0.428276     -25.0249
    0.441824     -25.0368
    0.455372     -25.0414
    0.469184     -25.0759
    0.482995      -25.102
    0.496807     -25.1177
    0.510619     -25.1235

           0     -24.9373
   0.0156265     -24.9618
   0.0312529     -24.9788
   0.0468794     -24.9896
   0.0625058     -24.9954
   0.0781323     -24.9973
   0.0916799     -24.9978
    0.105228     -25.0243
    0.118775     -25.0607
    0.132323     -25.0934
    0.145871     -25.1153
    0.159419      -25.123
    0.175045      -25.123
    0.190672     -25.1232
    0.206298     -25.1011
    0.221924     -25.1091
    0.237551     -25.1235
    0.251099     -25.1155
    0.264646     -25.0922
    0.278194     -25.0567
    0.291742     -25.0136
     0.30529     -24.9703
    0.318837     -24.9373
    0.332649     -24.9339
    0.346461     -24.9233
    0.360273     -24.9063
    0.374085     -24.8836
    0.387633     -24.8994
    0.401181     -24.9343
    0.414728     -24.9748
    0.428276     -25.0099
    0.441824     -25.0332
    0.455372     -25.0414
    0.469184      -25.073
    0.482995     -25.1005
    0.496807     -25.1177
    0.510619     -25.1235

           0     -24.9373
   0.0156265     -24.9618
   0.0312529     -24.9788
   0.0468794     -24.9896
   0.0625058     -24.9954
   0.0781323     -24.9973
   0.0916799     -24.9978
    0.105228     -25.0243
    0.118775     -25.0607
    0.132323     -25.0934
    0.145871     -25.1153
    0.159419      -25.123
    0.175045      -25.123
    0.190672     -25.0903
    0.206298     -25.0681
    0.221924     -25.0501
    0.237551     -25.0309
    0.251099     -25.0226
    0.264646     -24.9981
    0.278194     -24.9598
    0.291742     -24.9308
     0.30529     -24.9645
    0.318837     -24.9373
    0.332649     -24.9339
    0.346461     -24.9233
    0.360273     -24.9063
    0.374085     -24.8836
    0.387633     -24.8994
    0.401181     -24.9343
    0.414728     -24.9748
    0.428276     -25.0099
    0.441824     -25.0332
    0.455372     -25.0414
    0.469184      -25.073
    0.482995     -25.1005
    0.496807     -25.0635
    0.510619     -25.0309

           0     -24.9373
   0.0156265     -24.9043
   0.0312529     -24.8702
   0.0468794     -24.9208
   0.0625058     -24.9641
   0.0781323     -24.9973
   0.0916799     -24.9978
    0.105228     -25.0243
    0.118775     -25.0607
    0.132323     -25.0934
